"id_club";"lib_club";"adr1";"adr2";"adr3";"id_ligue"
"1";"Club de Foot de Nancy";NULL;NULL;NULL;"1"
"2";"Club de Foot de Metz";NULL;NULL;NULL;"1"
"3";"Club de Handball de Lunéville";NULL;NULL;NULL;"2"
"4";"Club de Handball de Epinal";NULL;NULL;NULL;"2"
"5";"Club de Golf de Verdun";NULL;NULL;NULL;"3"
"6";"Club de Golf de Longwy";NULL;NULL;NULL;"3"
"7";"Club de Judo de ThionVille";NULL;NULL;NULL;"4"
"8";"Club de Judo de bar-le-Duc";NULL;NULL;NULL;"4"
"9";"Club de Rugby de Yutz";NULL;NULL;NULL;"5"
"10";"Club de Rugby de Bitche";NULL;NULL;NULL;"5"
